Glyph Number,Page,Position,Section,NBS Glyph Number
1,88,1,"Simplex, FORTRAN",1
2,88,2,"Simplex, FORTRAN",2
3,88,3,"Simplex, FORTRAN",3
4,88,4,"Simplex, FORTRAN",4
5,88,5,"Simplex, FORTRAN",5
6,88,6,"Simplex, FORTRAN",6
7,88,7,"Simplex, FORTRAN",7
8,88,8,"Simplex, FORTRAN",8
9,88,9,"Simplex, FORTRAN",9
10,88,10,"Simplex, FORTRAN",10
11,88,11,"Simplex, FORTRAN",11
12,88,12,"Simplex, FORTRAN",12
13,88,13,"Simplex, FORTRAN",13
14,88,14,"Simplex, FORTRAN",14
15,88,15,"Simplex, FORTRAN",15
16,88,16,"Simplex, FORTRAN",16
17,88,17,"Simplex, FORTRAN",17
18,88,18,"Simplex, FORTRAN",18
19,88,19,"Simplex, FORTRAN",19
20,88,20,"Simplex, FORTRAN",20
21,88,21,"Simplex, FORTRAN",21
22,88,22,"Simplex, FORTRAN",22
23,88,23,"Simplex, FORTRAN",23
24,88,24,"Simplex, FORTRAN",24
25,88,25,"Simplex, FORTRAN",25
26,88,26,"Simplex, FORTRAN",26
27,88,27,"Simplex, FORTRAN",27
28,88,28,"Simplex, FORTRAN",28
29,88,29,"Simplex, FORTRAN",29
30,88,30,"Simplex, FORTRAN",30
31,88,31,"Simplex, FORTRAN",31
32,88,32,"Simplex, FORTRAN",32
33,88,33,"Simplex, FORTRAN",33
34,88,34,"Simplex, FORTRAN",34
35,88,35,"Simplex, FORTRAN",35
36,88,36,"Simplex, FORTRAN",36
37,88,37,"Simplex, FORTRAN",37
38,88,38,"Simplex, FORTRAN",38
39,88,39,"Simplex, FORTRAN",39
40,88,40,"Simplex, FORTRAN",40
41,88,41,"Simplex, FORTRAN",41
42,88,42,"Simplex, FORTRAN",42
43,89,1,"Simplex, FORTRAN",43
44,89,2,"Simplex, FORTRAN",44
45,89,3,"Simplex, FORTRAN",45
46,89,4,"Simplex, FORTRAN",46
47,89,5,"Simplex, FORTRAN",47
48,89,6,"Simplex, FORTRAN",48
49,89,7,"Simplex, FORTRAN",49
50,89,8,"Simplex, FORTRAN",50
198,89,9,"Simplex, FORTRAN",198
199,89,10,"Simplex, FORTRAN",199
200,89,11,"Simplex, FORTRAN",200
201,89,12,"Simplex, FORTRAN",201
202,89,13,"Simplex, FORTRAN",202
203,89,14,"Simplex, FORTRAN",203
204,89,15,"Simplex, FORTRAN",204
205,89,16,"Simplex, FORTRAN",205
206,89,17,"Simplex, FORTRAN",206
207,89,18,"Simplex, FORTRAN",207
208,89,19,"Simplex, FORTRAN",208
209,89,20,"Simplex, FORTRAN",209
210,89,21,"Simplex, FORTRAN",210
211,89,22,"Simplex, FORTRAN",211
212,89,23,"Simplex, FORTRAN",212
213,89,24,"Simplex, FORTRAN",213
214,89,25,"Simplex, FORTRAN",214
215,89,26,"Simplex, FORTRAN",215
216,89,27,"Simplex, FORTRAN",216
217,89,28,"Simplex, FORTRAN",217
218,89,29,"Simplex, FORTRAN",218
219,89,30,"Simplex, FORTRAN",219
220,89,31,"Simplex, FORTRAN",220
221,89,32,"Simplex, FORTRAN",221
222,89,33,"Simplex, FORTRAN",222
223,89,34,"Simplex, FORTRAN",223
224,89,35,"Simplex, FORTRAN",224
225,89,36,"Simplex, FORTRAN",225
226,89,37,"Simplex, FORTRAN",226
227,89,38,"Simplex, FORTRAN",227
228,89,39,"Simplex, FORTRAN",228
229,89,40,"Simplex, FORTRAN",235
501,90,1,"Simplex, Cartographic",501
502,90,2,"Simplex, Cartographic",502
503,90,3,"Simplex, Cartographic",503
504,90,4,"Simplex, Cartographic",504
505,90,5,"Simplex, Cartographic",505
506,90,6,"Simplex, Cartographic",506
507,90,7,"Simplex, Cartographic",507
508,90,8,"Simplex, Cartographic",508
509,90,9,"Simplex, Cartographic",509
510,90,10,"Simplex, Cartographic",510
511,90,11,"Simplex, Cartographic",511
512,90,12,"Simplex, Cartographic",512
513,90,13,"Simplex, Cartographic",513
514,90,14,"Simplex, Cartographic",514
515,90,15,"Simplex, Cartographic",515
516,90,16,"Simplex, Cartographic",516
517,90,17,"Simplex, Cartographic",517
518,90,18,"Simplex, Cartographic",518
519,90,19,"Simplex, Cartographic",519
520,90,20,"Simplex, Cartographic",520
521,91,1,"Simplex, Cartographic",521
522,91,2,"Simplex, Cartographic",522
523,91,3,"Simplex, Cartographic",523
524,91,4,"Simplex, Cartographic",524
525,91,5,"Simplex, Cartographic",525
526,91,6,"Simplex, Cartographic",526
527,91,7,"Simplex, Cartographic",527
528,91,8,"Simplex, Cartographic",528
529,91,9,"Simplex, Cartographic",529
530,91,10,"Simplex, Cartographic",530
531,91,11,"Simplex, Cartographic",531
532,91,12,"Simplex, Cartographic",532
533,91,13,"Simplex, Cartographic",533
534,91,14,"Simplex, Cartographic",534
535,91,15,"Simplex, Cartographic",535
536,91,16,"Simplex, Cartographic",536
537,91,17,"Simplex, Cartographic",537
538,91,18,"Simplex, Cartographic",538
539,91,19,"Simplex, Cartographic",539
540,91,20,"Simplex, Cartographic",540
541,92,1,"Simplex, Cartographic",541
542,92,2,"Simplex, Cartographic",542
543,92,3,"Simplex, Cartographic",543
544,92,4,"Simplex, Cartographic",544
545,92,5,"Simplex, Cartographic",545
546,92,6,"Simplex, Cartographic",546
547,92,7,"Simplex, Cartographic",547
548,92,8,"Simplex, Cartographic",548
549,92,9,"Simplex, Cartographic",549
550,92,10,"Simplex, Cartographic",550
551,92,11,"Simplex, Cartographic",551
552,92,12,"Simplex, Cartographic",552
553,92,13,"Simplex, Cartographic",553
554,92,14,"Simplex, Cartographic",554
555,92,15,"Simplex, Cartographic",555
556,92,16,"Simplex, Cartographic",556
557,92,17,"Simplex, Cartographic",557
558,92,18,"Simplex, Cartographic",558
559,92,19,"Simplex, Cartographic",559
560,92,20,"Simplex, Cartographic",560
561,93,1,"Simplex, Cartographic",561
562,93,2,"Simplex, Cartographic",562
563,93,3,"Simplex, Cartographic",563
564,93,4,"Simplex, Cartographic",564
565,93,5,"Simplex, Cartographic",565
566,93,6,"Simplex, Cartographic",566
567,93,7,"Simplex, Cartographic",567
568,93,8,"Simplex, Cartographic",568
569,93,9,"Simplex, Cartographic",569
570,93,10,"Simplex, Cartographic",570
571,93,11,"Simplex, Cartographic",571
572,93,12,"Simplex, Cartographic",572
573,93,13,"Simplex, Cartographic",573
574,93,14,"Simplex, Cartographic",574
575,93,15,"Simplex, Cartographic",575
576,93,16,"Simplex, Cartographic",576
583,93,17,"Simplex, Cartographic",583
601,94,1,"Simplex, Cartographic",601
602,94,2,"Simplex, Cartographic",602
603,94,3,"Simplex, Cartographic",603
604,94,4,"Simplex, Cartographic",604
605,94,5,"Simplex, Cartographic",605
606,94,6,"Simplex, Cartographic",606
607,94,7,"Simplex, Cartographic",607
608,94,8,"Simplex, Cartographic",608
609,94,9,"Simplex, Cartographic",609
610,94,10,"Simplex, Cartographic",610
611,94,11,"Simplex, Cartographic",611
612,94,12,"Simplex, Cartographic",612
613,94,13,"Simplex, Cartographic",613
614,94,14,"Simplex, Cartographic",614
