Glyph Number,Left Bearing,Right Bearing,SVG Path
1,-5,5,M0-5L-4 4M0-5L4 4M-2 1L2 1
2,-5,5,M-3-5L-3 4M-3-5L1-5 3-4 3-2 1-1M-3-1L1-1 3 0 3 3 1 4-3 4
3,-5,6,M4-4L2-5 0-5-2-4-3-2-3 1-2 3 0 4 2 4 4 3
4,-5,5,M-3-5L-3 4M-3-5L0-5 2-4 3-2 3 1 2 3 0 4-3 4
5,-5,5,M-3-5L-3 4M-3-5L3-5M-3-1L0-1M-3 4L3 4
6,-5,4,M-3-5L-3 4M-3-5L3-5M-3-1L0-1
7,-5,6,M4-4L2-5 0-5-2-4-3-2-3 1-2 3 0 4 2 4 4 3 4 0M1 0L4 0
8,-5,5,M-3-5L-3 4M3-5L3 4M-3-1L3-1
9,-2,2,M0-5L0 4
10,-5,3,M1-5L1 2 0 4-2 4-3 2-3 1
11,-5,5,M-3-5L-3 4M3-5L-3 1M-1-1L3 4
12,-5,4,M-3-5L-3 4M-3 4L3 4
13,-6,6,M-4-5L-4 4M-4-5L0 4M4-5L0 4M4-5L4 4
14,-5,5,M-3-5L-3 4M-3-5L3 4M3-5L3 4
15,-5,6,M0-5L-2-4-3-2-3 1-2 3 0 4 1 4 3 3 4 1 4-2 3-4 1-5 0-5
16,-5,5,M-3-5L-3 4M-3-5L1-5 3-4 3-1 1 0-3 0
17,-5,6,M0-5L-2-4-3-2-3 1-2 3 0 4 1 4 3 3 4 1 4-2 3-4 1-5 0-5M1 2L4 5
18,-5,5,M-3-5L-3 4M-3-5L1-5 3-4 3-1 1 0-3 0M0 0L3 4
19,-5,5,M3-4L1-5-1-5-3-4-3-3-2-2 2 0 3 1 3 3 1 4-1 4-3 3
20,-5,5,M0-5L0 4M-4-5L4-5
21,-5,6,M-3-5L-3 1-2 3 0 4 1 4 3 3 4 1 4-5
22,-5,5,M-4-5L0 4M4-5L0 4
23,-6,6,M-4-5L-2 4M0-5L-2 4M0-5L2 4M4-5L2 4
24,-5,5,M-3-5L3 4M3-5L-3 4
25,-5,5,M-4-5L0-1 0 4M4-5L0-1
26,-5,5,M3-5L-3 4M-3-5L3-5M-3 4L3 4
27,-5,5,M0-5L-4 4M0-5L4 4M-2 1L2 1
28,-5,5,M-3-5L-3 4M-3-5L1-5 3-4 3-2 1-1M-3-1L1-1 3 0 3 3 1 4-3 4
29,-5,4,M-3-5L-3 4M-3-5L3-5
30,-5,5,M0-5L-4 4M0-5L4 4M-4 4L4 4
31,-5,5,M-3-5L-3 4M-3-5L3-5M-3-1L0-1M-3 4L3 4
32,-5,5,M3-5L-3 4M-3-5L3-5M-3 4L3 4
33,-5,5,M-3-5L-3 4M3-5L3 4M-3-1L3-1
34,-5,6,M0-5L-2-4-3-2-3 1-2 3 0 4 1 4 3 3 4 1 4-2 3-4 1-5 0-5M-1-1L2 0M2-1L-1 0
35,-2,2,M0-5L0 4
36,-5,5,M-3-5L-3 4M3-5L-3 1M-1-1L3 4
37,-5,5,M0-5L-4 4M0-5L4 4
38,-6,6,M-4-5L-4 4M-4-5L0 4M4-5L0 4M4-5L4 4
39,-5,5,M-3-5L-3 4M-3-5L3 4M3-5L3 4
40,-5,6,M-3-5L4-5M-1-1L2 0M2-1L-1 0M-3 4L4 4
41,-5,6,M0-5L-2-4-3-2-3 1-2 3 0 4 1 4 3 3 4 1 4-2 3-4 1-5 0-5
42,-5,5,M-3-5L-3 4M3-5L3 4M-3-5L3-5
43,-5,5,M-3-5L-3 4M-3-5L1-5 3-4 3-1 1 0-3 0
44,-5,5,M-3-5L0-1-3 4M-3-5L3-5M-3 4L3 4
45,-5,5,M0-5L0 4M-4-5L4-5
46,-5,5,M-4-3L-4-4-3-5-2-5-1-4 0-2 0 4M4-3L4-4 3-5 2-5 1-4 0-2
47,-5,5,M0-5L0 4M-2-3L-4-2-4 1-2 2 2 2 4 1 4-2 2-3-2-3
48,-5,5,M-3-5L3 4M3-5L-3 4
49,-5,5,M0-5L0 4M-4-3L-3-2-3 1-1 2 1 2 3 1 3-2 4-3
50,-5,6,M-3 4L-1 4-3 0-3-2-2-4 0-5 1-5 3-4 4-2 4 0 2 4 4 4
198,-2,2,
199,-4,4,
200,-5,5,M0-5L-2-4-3-2-3 1-2 3 0 4 2 3 3 1 3-2 2-4 0-5
201,-5,5,M-2-3L0-5 0 4
202,-5,5,M-3-4L-1-5 1-5 3-4 3-2 2 0-3 4 3 4
203,-5,5,M-3-4L-1-5 1-5 3-4 3-2 1-1M0-1L1-1 3 0 3 3 1 4-1 4-3 3
204,-5,5,M1-5L1 4M1-5L-4 1 3 1
205,-5,5,M-2-5L-3-1-1-2 0-2 2-1 3 1 2 3 0 4-1 4-3 3M-2-5L2-5
206,-5,5,M2-5L0-5-2-4-3-2-3 1-2 3 0 4 2 3 3 1 2-1 0-2-2-1-3 1
207,-5,5,M3-5L-1 4M-3-5L3-5
208,-5,5,M-1-5L-3-4-3-2-1-1 1-1 3-2 3-4 1-5-1-5M-1-1L-3 0-3 3-1 4 1 4 3 3 3 0 1-1
209,-5,5,M3-2L2 0 0 1-2 0-3-2-2-4 0-5 2-4 3-2 3 1 2 3 0 4-2 4
210,-2,3,M0 3L0 4 1 4 1 3 0 3
211,-2,3,M1 4L0 4 0 3 1 3 1 5 0 7
212,-2,3,M0-2L0-1 1-1 1-2 0-2M0 3L0 4 1 4 1 3 0 3
213,-2,3,M0-2L0-1 1-1 1-2 0-2M1 4L0 4 0 3 1 3 1 5 0 7
214,-2,3,M0-5L0 0M1-5L1 0M0 3L0 4 1 4 1 3 0 3
215,-5,5,M-3-4L-1-5 1-5 3-4 3-2 0-1 0 0 1 0 1-1 3-2M0 3L0 4 1 4 1 3 0 3
216,-2,2,M0-5L0-1
217,-3,4,M-1-5L-1-1M2-5L2-1
218,-4,4,M-1-5L-2-4-2-2-1-1 1-1 2-2 2-4 1-5-1-5
219,-5,5,M3-4L1-5-1-5-3-4-3-2-1-1 2 0 3 1 3 3 1 4-1 4-3 3M0-6L0 5
220,-6,6,M4-6L-4 5
221,-3,4,M2-6L0-4-1-2-1 1 0 3 2 5
222,-4,3,M-2-6L0-4 1-2 1 1 0 3-2 5
223,-2,2,M0-6L0 5
224,-6,6,M-4 0L4 0
225,-6,6,M0-4L0 4M-4 0L4 0
226,-6,6,M-4-2L4-2M-4 2L4 2
227,-5,5,M-3-3L3 3M3-3L-3 3
228,-5,5,M0-3L0 3M-3-2L3 2M3-2L-3 2
229,-6,6,M-4-4L-3-1-3 1-4 4M4-4L3-1 3 1 4 4M-4-4L-1-3 1-3 4-4M-4 4L-1 3 1 3 4 4
501,-9,9,M0-12L-8 9M0-12L8 9M-6 4L6 4
502,-11,10,M-7-12L-7 9M-7-12L2-12 5-11 6-10 7-8 7-6 6-4 5-3 2-2M-7-2L2-2 5-1 6 0 7 2 7 5 6 7 5 8 2 9-7 9
503,-10,11,M8-7L7-9 5-11 3-12-1-12-3-11-5-9-6-7-7-4-7 1-6 4-5 6-3 8-1 9 3 9 5 8 7 6 8 4
504,-11,10,M-7-12L-7 9M-7-12L0-12 3-11 5-9 6-7 7-4 7 1 6 4 5 6 3 8 0 9-7 9
505,-10,9,M-6-12L-6 9M-6-12L7-12M-6-2L2-2M-6 9L7 9
506,-10,9,M-6-12L-6 9M-6-12L7-12M-6-2L2-2
