Glyph Number,Page,Position,NWL Section,NWL Pronunciation
1,163,1,Kanji,"Ichi, Itsu"
7,163,2,Kanji,"Man, Ban"
8,163,3,Kanji,San
9,163,4,Kanji,"Ka, Ge"
15,163,5,Kanji,Go
16,163,6,Kanji,Ten
17,163,7,Kanji,"Fu, Bu"
24,163,8,Kanji,"Koku, Ka"
26,163,9,Kanji,"Hyō, Byō, Hei"
27,163,10,Kanji,"Sei, Shō"
33,163,11,Kanji,"Byaku, Hyaku"
34,163,12,Kanji,Ryō
35,163,13,Kanji,Sai
43,163,14,Kanji,A
49,163,15,Kanji,Kan
50,163,16,Kanji,"Ga, Kaku"
53,163,17,Kanji,Chū
54,163,18,Kanji,"Wai, E"
58,163,19,Kanji,"Ge, Ka"
62,163,20,Kanji,"O, Aku"
81,164,1,Kanji,Chū
82,164,2,Kanji,"Dai, Nai"
92,164,3,Kanji,"Kan, Kō"
96,164,4,Kanji,Hon
97,164,5,Kanji,"Sui, Shutsu"
101,164,6,Kanji,"Ko, Kyō"
103,164,7,Kanji,Kyoku
107,164,8,Kanji,Ka
108,164,9,Kanji,Hyō
130,164,10,Kanji,Ei
131,164,11,Kanji,Hyō
132,164,12,Kanji,Han
138,164,13,Kanji,I
139,164,14,Kanji,Tan
146,164,15,Kanji,"Kyū, Ku"
154,164,16,Kanji,Kyū
156,164,17,Kanji,Sen
162,164,18,Kanji,Go
166,164,19,Kanji,Shō
173,164,20,Kanji,Futsu
179,165,1,Kanji,Mi
188,165,2,Kanji,Nen
195,165,3,Kanji,Kei
196,165,4,Kanji,Soku
199,165,5,Kanji,Ran
202,165,6,Kanji,Rai
211,165,7,Kanji,Sui
213,165,8,Kanji,Tō
223,165,9,Kanji,Jō
224,165,10,Kanji,"Chō, Jū"
230,165,11,Kanji,Tō
260,165,12,Kanji,"Itsu, Otsu"
261,165,13,Kanji,Shichi
272,165,14,Kanji,Ji
273,165,15,Kanji,"Ni, Ji"
275,165,16,Kanji,"Gan, Gen"
283,165,17,Kanji,"Riku, Roku"
284,165,18,Kanji,Shi
285,165,19,Kanji,"Su, Shū, Shu"
290,165,20,Kanji,Kō
