Page,Data,Columns,Rows,Width,Height,Glyph Height,Vertical Offset,Bearings,Nearby,Front
88,Occidental,7,6,24,28,9,2,1,1,1
89,Occidental,7,6,24,28,9,2,1,1,0
90,Occidental,5,4,34,42,21,1,1,1,1
91,Occidental,5,4,34,42,21,1,1,1,0
92,Occidental,5,4,34,42,21,1,1,1,1
93,Occidental,5,4,34,42,21,1,1,1,0
94,Occidental,5,4,34,42,21,-1,1,1,1
95,Occidental,5,4,34,42,21,-1,1,1,0
96,Occidental,5,4,34,42,21,-1,1,1,1
97,Occidental,5,4,34,42,21,-1,1,1,0
98,Occidental,5,4,34,42,21,1,1,1,1
99,Occidental,5,4,34,42,21,1,1,1,0
100,Occidental,3,2,56,84,wiring,2,0,1,1
101,Occidental,4,3,42,56,wiring,2,0,0,0
102,Occidental,3,2,56,84,wiring,2,0,1,1
103,Occidental,3,2,56,84,wiring,2,0,1,0
104,Occidental,4,4,42,42,carto,2,0,1,1
105,Occidental,3,3,56,56,carto,2,0,1,0
106,Occidental,4,3,42,56,carto,2,0,0,1
107,Occidental,2,2,84,84,carto,0,0,1,0
109,Occidental,5,4,34,42,13,1,1,1,1
110,Occidental,5,4,34,42,13,1,1,1,0
111,Occidental,5,4,34,42,13,1,1,1,1
112,Occidental,5,4,34,42,13,1,1,1,0
113,Occidental,5,4,34,42,13,1,1,1,1
114,Occidental,5,4,34,42,13,1,1,1,0
115,Occidental,5,4,34,42,13,1,1,1,1
116,Occidental,5,4,34,42,13,-1,1,1,0
117,Occidental,5,4,34,42,13,1,1,1,1
118,Occidental,5,4,34,42,13,1,1,1,0
119,Occidental,5,4,34,42,13,1,1,1,1
120,Occidental,5,4,34,42,13,1,1,1,0
121,Occidental,5,4,34,42,13,1,1,1,1
122,Occidental,5,4,34,42,13,1,1,1,0
123,Occidental,5,4,34,42,21,1,1,1,1
124,Occidental,5,4,34,42,21,1,1,1,0
125,Occidental,5,4,34,42,21,1,1,1,1
126,Occidental,5,4,34,42,21,1,1,1,0
127,Occidental,5,4,34,42,21,-1,1,1,1
128,Occidental,5,4,34,42,21,-1,1,1,0
129,Occidental,5,4,34,42,21,-1,1,1,1
130,Occidental,5,4,34,42,21,1,1,1,0
131,Occidental,5,4,34,42,21,-1,1,1,1
132,Occidental,5,4,34,42,21,1,1,1,0
133,Occidental,5,4,34,42,21,1,1,1,1
134,Occidental,5,4,34,42,21,1,1,1,0
135,Occidental,5,4,34,42,21,1,1,1,1
136,Occidental,5,4,34,42,21,1,1,1,0
137,Occidental,5,4,34,42,21/music,1,1,1,1
138,Occidental,3,2,56,84,music,0,1,1,0
139,Occidental,2,2,84,84,math,0,1,1,1
140,Occidental,4,2,42,84,math,0,1,1,0
141,Occidental,5,4,34,42,21,1,1,1,1
142,Occidental,5,4,34,42,21,1,1,1,0
143,Occidental,5,4,34,42,21,1,1,1,1
144,Occidental,5,4,34,42,21,-1,1,1,0
145,Occidental,5,4,34,42,21,-1,1,1,1
146,Occidental,5,4,34,42,21,-1,1,1,0
147,Occidental,4,4,42,42,21,2,1,1,1
148,Occidental,4,4,42,42,21,2,1,1,0
149,Occidental,4,4,42,42,21,2,1,1,1
150,Occidental,4,4,42,42,21,2,1,1,0
152,Occidental,5,4,34,42,21,1,1,1,1
153,Occidental,5,4,34,42,21,1,1,1,0
154,Occidental,5,4,34,42,21,1,1,1,1
155,Occidental,5,4,34,42,21,1,1,1,0
156,Occidental,5,4,34,42,21,1,1,1,1
157,Occidental,5,4,34,42,21,1,1,1,0
158,Occidental,5,4,34,42,21,1,1,1,1
159,Occidental,5,4,34,42,21,1,1,1,0
160,Occidental,5,4,34,42,21,1,1,1,1
163,Oriental,5,4,34,42,21,1,0,1,1
164,Oriental,5,4,34,42,21,1,0,1,0
165,Oriental,5,4,34,42,21,1,0,1,1
166,Oriental,5,4,34,42,21,1,0,1,0
167,Oriental,5,4,34,42,21,1,0,1,1
168,Oriental,5,4,34,42,21,1,0,1,0
169,Oriental,5,4,34,42,21,1,0,1,1
170,Oriental,5,4,34,42,21,1,0,1,0
171,Oriental,5,4,34,42,21,1,0,1,1
172,Oriental,5,4,34,42,21,1,0,1,0
173,Oriental,5,4,34,42,21,1,0,1,1
174,Oriental,5,4,34,42,21,1,0,1,0
175,Oriental,5,4,34,42,21,1,0,1,1
176,Oriental,5,4,34,42,21,1,0,1,0
177,Oriental,5,4,34,42,21,1,0,1,1
178,Oriental,5,4,34,42,21,1,0,1,0
179,Oriental,5,4,34,42,21,1,0,1,1
180,Oriental,5,4,34,42,21,1,0,1,0
181,Oriental,5,4,34,42,21,1,0,1,1
182,Oriental,5,4,34,42,21,1,0,1,0
183,Oriental,5,4,34,42,21,1,0,1,1
184,Oriental,5,4,34,42,21,1,0,1,0
185,Oriental,5,4,34,42,21,1,0,1,1
186,Oriental,5,4,34,42,21,1,0,1,0
187,Oriental,5,4,34,42,21,1,0,1,1
188,Oriental,5,4,34,42,21,1,0,1,0
189,Oriental,5,4,34,42,21,1,0,1,1
190,Oriental,5,4,34,42,21,1,0,1,0
191,Oriental,5,4,34,42,21,1,0,1,1
192,Oriental,5,4,34,42,21,1,0,1,0
193,Oriental,5,4,34,42,21,1,0,1,1
195,Oriental,5,4,34,42,21,1,0,1,1
196,Oriental,5,4,34,42,21,1,0,1,0
197,Oriental,5,4,34,42,21,1,0,1,1
198,Oriental,5,4,34,42,21,1,0,1,0
200,Oriental,5,4,34,42,21,1,0,1,1
201,Oriental,5,4,34,42,21,1,0,1,0
202,Oriental,5,4,34,42,21,1,0,1,1
203,Oriental,5,4,34,42,21,1,0,1,0
