Glyph Number,NBS Font,NBS Description,Unicode,Unicode Name
1,Cartographic,Roman Upper Case,U+0041,
2,Cartographic,Roman Upper Case,U+0042,
3,Cartographic,Roman Upper Case,U+0043,
4,Cartographic,Roman Upper Case,U+0044,
5,Cartographic,Roman Upper Case,U+0045,
6,Cartographic,Roman Upper Case,U+0046,
7,Cartographic,Roman Upper Case,U+0047,
8,Cartographic,Roman Upper Case,U+0048,
9,Cartographic,Roman Upper Case,U+0049,
10,Cartographic,Roman Upper Case,U+004A,
11,Cartographic,Roman Upper Case,U+004B,
12,Cartographic,Roman Upper Case,U+004C,
13,Cartographic,Roman Upper Case,U+004D,
14,Cartographic,Roman Upper Case,U+004E,
15,Cartographic,Roman Upper Case,U+004F,
16,Cartographic,Roman Upper Case,U+0050,
17,Cartographic,Roman Upper Case,U+0051,
18,Cartographic,Roman Upper Case,U+0052,
19,Cartographic,Roman Upper Case,U+0053,
20,Cartographic,Roman Upper Case,U+0054,
21,Cartographic,Roman Upper Case,U+0055,
22,Cartographic,Roman Upper Case,U+0056,
23,Cartographic,Roman Upper Case,U+0057,
24,Cartographic,Roman Upper Case,U+0058,
25,Cartographic,Roman Upper Case,U+0059,
26,Cartographic,Roman Upper Case,U+005A,
27,Cartographic,Greek Upper Case,U+0391,
28,Cartographic,Greek Upper Case,U+0392,
29,Cartographic,Greek Upper Case,U+0393,
30,Cartographic,Greek Upper Case,U+0394,
31,Cartographic,Greek Upper Case,U+0395,
32,Cartographic,Greek Upper Case,U+0396,
33,Cartographic,Greek Upper Case,U+0397,
34,Cartographic,Greek Upper Case,U+0398,
35,Cartographic,Greek Upper Case,U+0399,
36,Cartographic,Greek Upper Case,U+039A,
37,Cartographic,Greek Upper Case,U+039B,
38,Cartographic,Greek Upper Case,U+039C,
39,Cartographic,Greek Upper Case,U+039D,
40,Cartographic,Greek Upper Case,U+039E,
41,Cartographic,Greek Upper Case,U+039F,
42,Cartographic,Greek Upper Case,U+03A0,
43,Cartographic,Greek Upper Case,U+03A1,
44,Cartographic,Greek Upper Case,U+03A3,
45,Cartographic,Greek Upper Case,U+03A4,
46,Cartographic,Greek Upper Case,U+03A5,
47,Cartographic,Greek Upper Case,U+03A6,
48,Cartographic,Greek Upper Case,U+03A7,
49,Cartographic,Greek Upper Case,U+03A8,
50,Cartographic,Greek Upper Case,U+03A9,
197,Cartographic,Blank,U+200B,
198,Cartographic,Blank,U+0020,
199,Cartographic,Blank,U+2002,
200,Cartographic,Numeral Zero,U+0030,
201,Cartographic,Numeral One,U+0031,
202,Cartographic,Numeral Two,U+0032,
203,Cartographic,Numeral Three,U+0033,
