Glyph Number,Left Bearing,Right Bearing,SVG Path
1,-5,5,M0-5L-4 4M0-5L4 4M-2 1L2 1
2,-5,5,M-3-5L-3 4M-3-5L1-5L3-4L3-2L1-1M-3-1L1-1L3 0L3 3L1 4L-3 4
3,-5,6,M4-4L2-5L0-5L-2-4L-3-2L-3 1L-2 3L0 4L2 4L4 3
4,-5,5,M-3-5L-3 4M-3-5L0-5L2-4L3-2L3 1L2 3L0 4L-3 4
5,-5,5,M-3-5L-3 4M-3-5L3-5M-3-1L1-1M-3 4L3 4
6,-5,4,M-3-5L-3 4M-3-5L3-5M-3-1L1-1
7,-5,6,M4-4L2-5L0-5L-2-4L-3-2L-3 1L-2 3L0 4L2 4L4 3L4 0M1 0L4 0
8,-5,5,M-3-5L-3 4M3-5L3 4M-3-1L3-1
9,-2,2,M0-5L0 4
10,-4,3,M1-5L1 2L0 4L-2 4L-3 2L-3 1
11,-5,5,M-3-5L-3 4M3-5L-3 1M-1-1L3 4
12,-5,4,M-3-5L-3 4M-3 4L3 4
13,-6,6,M-4-5L-4 4M-4-5L0 4M4-5L0 4M4-5L4 4
14,-5,5,M-3-5L-3 4M-3-5L3 4M3-5L3 4
15,-5,6,M0-5L-2-4L-3-2L-3 1L-2 3L0 4L1 4L3 3L4 1L4-2L3-4L1-5L0-5
16,-5,5,M-3-5L-3 4M-3-5L1-5L3-4L3-1L1 0L-3 0
17,-5,6,M0-5L-2-4L-3-2L-3 1L-2 3L0 4L1 4L3 3L4 1L4-2L3-4L1-5L0-5M1 2L4 5
18,-5,5,M-3-5L-3 4M-3-5L1-5L3-4L3-1L1 0L-3 0M0 0L3 4
19,-5,5,M3-4L1-5L-1-5L-3-4L-3-3L-2-2L2 0L3 1L3 3L1 4L-1 4L-3 3
20,-5,5,M0-5L0 4M-4-5L4-5
21,-5,6,M-3-5L-3 1L-2 3L0 4L1 4L3 3L4 1L4-5
22,-5,5,M-4-5L0 4M4-5L0 4
23,-6,6,M-4-5L-2 4M0-5L-2 4M0-5L2 4M4-5L2 4
24,-5,5,M-3-5L3 4M3-5L-3 4
25,-5,5,M-4-5L0-1L0 4M4-5L0-1
26,-5,5,M3-5L-3 4M-3-5L3-5M-3 4L3 4
27,-5,5,M0-5L-4 4M0-5L4 4M-2 1L2 1
28,-5,5,M-3-5L-3 4M-3-5L1-5L3-4L3-2L1-1M-3-1L1-1L3 0L3 3L1 4L-3 4
29,-5,4,M-3-5L-3 4M-3-5L3-5
30,-5,5,M0-5L-4 4M0-5L4 4M-4 4L4 4
31,-5,5,M-3-5L-3 4M-3-5L3-5M-3-1L1-1M-3 4L3 4
32,-5,5,M3-5L-3 4M-3-5L3-5M-3 4L3 4
33,-5,5,M-3-5L-3 4M3-5L3 4M-3-1L3-1
34,-5,6,M0-5L-2-4L-3-2L-3 1L-2 3L0 4L1 4L3 3L4 1L4-2L3-4L1-5L0-5M-1-1L2 0M2-1L-1 0
35,-2,2,M0-5L0 4
36,-5,5,M-3-5L-3 4M3-5L-3 1M-1-1L3 4
37,-5,5,M0-5L-4 4M0-5L4 4
38,-6,6,M-4-5L-4 4M-4-5L0 4M4-5L0 4M4-5L4 4
39,-5,5,M-3-5L-3 4M-3-5L3 4M3-5L3 4
40,-5,5,M-3-5L3-5M-2-1L2 0M2-1L-2 0M-3 4L3 4
41,-5,6,M0-5L-2-4L-3-2L-3 1L-2 3L0 4L1 4L3 3L4 1L4-2L3-4L1-5L0-5
42,-5,5,M-3-5L-3 4M3-5L3 4M-3-5L3-5
43,-5,5,M-3-5L-3 4M-3-5L1-5L3-4L3-1L1 0L-3 0
44,-5,5,M-3-5L0-1L-3 4M-3-5L3-5M-3 4L3 4
45,-5,5,M0-5L0 4M-4-5L4-5
46,-5,5,M-4-3L-4-4L-3-5L-2-5L-1-4L0-2L0 4M4-3L4-4L3-5L2-5L1-4L0-2
47,-6,6,M0-5L0 4M-2-3L-4-2L-4 1L-2 2L2 2L4 1L4-2L2-3L-2-3
48,-5,5,M-3-5L3 4M3-5L-3 4
49,-6,6,M0-5L0 4M-4-3L-3-2L-3 1L-1 2L1 2L3 1L3-2L4-3
50,-5,6,M-3 4L-1 4L-3 0L-3-2L-2-4L0-5L1-5L3-4L4-2L4 0L2 4L4 4
197,0,0,
198,-2,2,
199,-4,4,
200,-5,5,M0-5L-2-4L-3-2L-3 1L-2 3L0 4L2 3L3 1L3-2L2-4L0-5
201,-5,5,M-2-3L0-5L0 4
202,-5,5,M-3-4L-1-5L1-5L3-4L3-2L2 0L-3 4L3 4
203,-5,5,M-3-4L-1-5L1-5L3-4L3-2L1-1M0-1L1-1L3 0L3 3L1 4L-1 4L-3 3
204,-5,5,M1-5L1 4M1-5L-4 1L4 1
205,-5,5,M-2-5L-3-1L-1-2L0-2L2-1L3 1L2 3L0 4L-1 4L-3 3M-2-5L2-5
206,-5,5,M2-5L0-5L-2-4L-3-2L-3 1L-2 3L0 4L2 3L3 1L2-1L0-2L-2-1L-3 1
207,-5,5,M3-5L-1 4M-3-5L3-5
208,-5,5,M-1-5L-3-4L-3-2L-1-1L1-1L3-2L3-4L1-5L-1-5M-1-1L-3 0L-3 3L-1 4L1 4L3 3L3 0L1-1
209,-5,5,M3-2L2 0L0 1L-2 0L-3-2L-2-4L0-5L2-4L3-2L3 1L2 3L0 4L-2 4
210,-2,3,M0 3L0 4L1 4L1 3L0 3
211,-2,3,M1 4L0 4L0 3L1 3L1 5L0 7
212,-2,3,M0-2L0-1L1-1L1-2L0-2M0 3L0 4L1 4L1 3L0 3
213,-2,3,M0-2L0-1L1-1L1-2L0-2M1 4L0 4L0 3L1 3L1 5L0 7
214,-2,3,M0-5L0 0M1-5L1 0M0 3L0 4L1 4L1 3L0 3
215,-4,5,M-2-4L0-5L1-5L3-4L3-2L0-1L0 0L1 0L1-1L3-2M0 3L0 4L1 4L1 3L0 3
216,-2,2,M0-5L0-1
217,-4,4,M-2-5L-2-1M2-5L2-1
218,-4,4,M-1-5L-2-4L-2-2L-1-1L1-1L2-2L2-4L1-5L-1-5
219,-5,5,M3-4L1-5L-1-5L-3-4L-3-2L-1-1L2 0L3 1L3 3L1 4L-1 4L-3 3M0-6L0 5
220,-5,5,M4-6L-4 5
221,-3,4,M2-6L0-4L-1-2L-1 1L0 3L2 5
222,-4,3,M-2-6L0-4L1-2L1 1L0 3L-2 5
223,-2,2,M0-6L0 5
224,-6,6,M-4 0L4 0
225,-6,6,M0-4L0 4M-4 0L4 0
226,-6,6,M-4-2L4-2M-4 2L4 2
227,-5,5,M-3-3L3 3M3-3L-3 3
228,-5,5,M0-3L0 3M-3-2L3 2M3-2L-3 2
229,-2,3,M0-1L0 0L1 0L1-1L0-1
230,-2,3,M1-5L0-3L0-1L1-1L1-2L0-2
231,-2,3,M1-4L0-4L0-5L1-5L1-3L0-1
232,-6,6,M1-3L4 0L1 3M-4 0L4 0
233,-5,6,M0-6L-2 5M3-6L1 5M-3-2L4-2M-3 1L4 1
234,-6,6,M4 0L3 0L2 1L1 3L0 4L-3 4L-4 3L-4 1L-3 0L0-1L1-2L1-4L0-5L-2-5L-3-4L-3-2L-1 1L1 3L3 4L4 4
235,-6,6,M-4-4L-3-1L-3 1L-4 4M4-4L3-1L3 1L4 4M-4-4L-1-3L1-3L4-4M-4 4L-1 3L1 3L4 4
501,-9,9,M0-12L-8 9M0-12L8 9M-5 2L5 2
502,-11,10,M-7-12L-7 9M-7-12L2-12L5-11L6-10L7-8L7-6L6-4L5-3L2-2M-7-2L2-2L5-1L6 0L7 2L7 5L6 7L5 8L2 9L-7 9
503,-10,11,M8-7L7-9L5-11L3-12L-1-12L-3-11L-5-9L-6-7L-7-4L-7 1L-6 4L-5 6L-3 8L-1 9L3 9L5 8L7 6L8 4
504,-11,10,M-7-12L-7 9M-7-12L0-12L3-11L5-9L6-7L7-4L7 1L6 4L5 6L3 8L0 9L-7 9
505,-10,9,M-6-12L-6 9M-6-12L7-12M-6-2L2-2M-6 9L7 9
506,-10,8,M-6-12L-6 9M-6-12L7-12M-6-2L2-2
507,-10,11,M8-7L7-9L5-11L3-12L-1-12L-3-11L-5-9L-6-7L-7-4L-7 1L-6 4L-5 6L-3 8L-1 9L3 9L5 8L7 6L8 4L8 1M3 1L8 1
508,-11,11,M-7-12L-7 9M7-12L7 9M-7-2L7-2
509,-4,4,M0-12L0 9
510,-8,8,M4-12L4 4L3 7L2 8L0 9L-2 9L-4 8L-5 7L-6 4L-6 2
511,-11,10,M-7-12L-7 9M7-12L-7 2M-2-3L7 9
512,-10,7,M-6-12L-6 9M-6 9L6 9
513,-12,12,M-8-12L-8 9M-8-12L0 9M8-12L0 9M8-12L8 9
514,-11,11,M-7-12L-7 9M-7-12L7 9M7-12L7 9
515,-11,11,M-2-12L-4-11L-6-9L-7-7L-8-4L-8 1L-7 4L-6 6L-4 8L-2 9L2 9L4 8L6 6L7 4L8 1L8-4L7-7L6-9L4-11L2-12L-2-12
516,-11,10,M-7-12L-7 9M-7-12L2-12L5-11L6-10L7-8L7-5L6-3L5-2L2-1L-7-1
517,-11,11,M-2-12L-4-11L-6-9L-7-7L-8-4L-8 1L-7 4L-6 6L-4 8L-2 9L2 9L4 8L6 6L7 4L8 1L8-4L7-7L6-9L4-11L2-12L-2-12M1 5L7 11
518,-11,10,M-7-12L-7 9M-7-12L2-12L5-11L6-10L7-8L7-6L6-4L5-3L2-2L-7-2M0-2L7 9
519,-10,10,M7-9L5-11L2-12L-2-12L-5-11L-7-9L-7-7L-6-5L-5-4L-3-3L3-1L5 0L6 1L7 3L7 6L5 8L2 9L-2 9L-5 8L-7 6
520,-8,8,M0-12L0 9M-7-12L7-12
521,-11,11,M-7-12L-7 3L-6 6L-4 8L-1 9L1 9L4 8L6 6L7 3L7-12
522,-9,9,M-8-12L0 9M8-12L0 9
523,-12,12,M-10-12L-5 9M0-12L-5 9M0-12L5 9M10-12L5 9
524,-10,10,M-7-12L7 9M7-12L-7 9
525,-9,9,M-8-12L0-2L0 9M8-12L0-2
526,-10,10,M7-12L-7 9M-7-12L7-12M-7 9L7 9
527,-9,9,M0-12L-8 9M0-12L8 9M-5 2L5 2
528,-11,10,M-7-12L-7 9M-7-12L2-12L5-11L6-10L7-8L7-6L6-4L5-3L2-2M-7-2L2-2L5-1L6 0L7 2L7 5L6 7L5 8L2 9L-7 9
529,-10,7,M-6-12L-6 9M-6-12L6-12
530,-9,9,M0-12L-8 9M0-12L8 9M-8 9L8 9
531,-10,9,M-6-12L-6 9M-6-12L7-12M-6-2L2-2M-6 9L7 9
532,-10,10,M7-12L-7 9M-7-12L7-12M-7 9L7 9
533,-11,11,M-7-12L-7 9M7-12L7 9M-7-2L7-2
