Glyph Number,NWL Section,NWL Pronunciation,Unicode,Unicode Name,Unicode Source
1,Kanji,"Ichi, Itsu",U+4E00,,Unihan
7,Kanji,"Man, Ban",U+4E07,,Unihan
8,Kanji,San,U+4E09,,Unihan
9,Kanji,"Ka, Ge",U+4E0B,,Unihan
15,Kanji,Go,U+4E94,,Unihan
16,Kanji,Ten,U+5929,,Unihan
17,Kanji,"Fu, Bu",U+4E0D,,Unihan
24,Kanji,"Koku, Ka",U+53EF,,Unihan
26,Kanji,"Hyō, Byō, Hei",U+5E73,,Unihan
27,Kanji,"Sei, Shō",U+6B63,,Unihan
33,Kanji,"Byaku, Hyaku",U+767E,,Unihan
34,Kanji,Ryō,"U+4E21,U+5169,U+F978",,Unihan
35,Kanji,Sai,U+518D,,Unihan
43,Kanji,A,U+4E9C,,Unihan
49,Kanji,Kan,U+51FD,,Unihan
50,Kanji,"Ga, Kaku","U+753B,U+756B,U+7575",,Unihan
53,Kanji,Chū,"U+663C,U+665D",,Unihan
54,Kanji,"Wai, E",U+6B6A,,Unihan
58,Kanji,"Ge, Ka",U+590F,,Unihan
62,Kanji,"O, Aku",U+60AA,,Unihan
81,Kanji,Chū,U+4E2D,,Unihan
82,Kanji,"Dai, Nai",U+5185,,Unihan
92,Kanji,"Kan, Kō",U+7532,,Unihan
96,Kanji,Hon,U+672C,,Unihan
97,Kanji,"Sui, Shutsu",U+51FA,,Unihan
101,Kanji,"Ko, Kyō",U+5411,,Unihan
103,Kanji,Kyoku,U+66F2,,Unihan
107,Kanji,Ka,U+679C,,Unihan
108,Kanji,Hyō,U+8868,,Unihan
130,Kanji,Ei,U+6C38,,Unihan
131,Kanji,Hyō,U+6C37,,Unihan
132,Kanji,Han,U+534A,,Unihan
138,Kanji,I,U+70BA,,Unihan
139,Kanji,Tan,U+5358,,Unihan
146,Kanji,"Kyū, Ku",U+4E5D,,Unihan
154,Kanji,Kyū,U+53CA,,Unihan
156,Kanji,Sen,"U+4EDF,U+5343",,Unihan
162,Kanji,Go,U+5348,,Unihan
166,Kanji,Shō,U+5C11,,Unihan
173,Kanji,Futsu,U+5F17,,Unihan
179,Kanji,Mi,U+672A,,Unihan
188,Kanji,Nen,U+5E74,,Unihan
195,Kanji,Kei,U+7CFB,,Unihan
196,Kanji,Soku,U+675F,,Unihan
199,Kanji,Ran,U+5375,,Unihan
202,Kanji,Rai,U+6765,,Unihan
211,Kanji,Sui,U+5782,,Unihan
213,Kanji,Tō,U+6771,,Unihan
