Glyph Number,Left Bearing,Right Bearing,SVG Path
1,-14,13,M-11-1L11-1L8-3L6-1M6-1L9-2
7,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-1-11L-2-4L-3 0L-4 2L-6 5L-8 7L-11 9M0-11L-1-4L-2 0L-4 4L-6 6L-9 8L-11 9M-1-5L7-5M6-5L7-6L9-5L7-2M7-5L6 2L5 6L4 7L2 8L-1 7M5 7L4 8L3 8M8-5L7 2L6 6L5 8L4 9L3 9L2 8
8,-14,13,M-9-9L9-9L7-11L5-9M5-9L8-10M-7-1L7-1L5-3L3-1M3-1L6-2M-11 8L11 8L9 6L7 8M7 8L10 7
9,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-1-11L-1 9M0-11L0 9M2-5L4-4L6-1L7 1L8 1L8 0L7-2L5-4L2-5L0-5
15,-14,13,M-9-10L8-10L6-12L4-10M4-10L7-11M-1-10L-4 8M0-10L-3 8M-9-2L4-2M3-2L4-3L6-2L5 0M4-2L3 8M5-2L5 0L4 8M-11 8L11 8L9 6L7 8M7 8L10 7
16,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-1-11L-1-6L-2-1L-4 3L-6 6L-8 8L-11 10M0-11L0-5L-1 0L-3 4L-6 7L-9 9L-11 10M1-3L2 0L4 4L6 7L9 10L11 9M7 7L9 9M1-3L3 1L6 5L8 7L11 9M-9-4L9-4L7-6L5-4M5-4L8-5
17,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M2-8L4-9L2-10L0-6L-3-2L-7 2L-11 5M3-9L2-7L-1-3L-5 1L-9 4L-11 5M-1-3L-1 10M0-5L0 10M5-2L7 0L9 3L10 3L10 2L8 0L5-2L3-3
24,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M7-11L7 6L6 8L5 9M7 7L7 8L6 9M8-11L8 8L7 10L6 10L5 9L3 8M-7-6L-7 4M-7-6L-6-5L-6 4M-6-5L1-5M1-5L1 3M0-5L1-6L2-5L2 3M-6 2L1 2
26,-14,13,M-9-11L9-11L7-13L5-11M5-11L8-12M-1-11L-1 11M0-11L0 11M-7-7L-6-5L-5-2L-4-2L-4-3L-5-5L-8-8M6-8L3-2M6-8L7-7L3-2M-11 0L11 0L9-2L7 0M7 0L10-1
27,-14,13,M-10-11L10-11L8-13L6-11M6-11L9-12M0-11L0 9M1-11L1 9M-5-2L-4-3L-6-4L-6 9M-5-3L-5 9M1-2L9-2L7-4L5-2M5-2L8-3M-11 9L11 9L9 7L7 9M7 9L10 8
33,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M0-11L-3-5M0-11L1-10L-3-5M-6-5L-8-6L-8 9M-7-5L-7 9M-7-5L6-5M5-5L6-6L8-5L7-3M6-5L6 9M7-5L7 9M-7 1L6 1M-7 7L6 7
34,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-1-11L-1 4M0-11L0 4M-7-6L-9-7L-9 10M-8-6L-8 10M-8-6L7-6M6-6L7-7L9-6L8-4M7-6L7 6L6 8L5 9M7 7L7 8L6 9M8-6L8 8L7 10L6 10L5 9L3 8M-5-3L-5 5M-5-3L-4-3L-4 5M-4 4L3 4M3-3L3 5M3-3L4-3L4 5
35,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-1-11L-1 3M0-11L0 3M-6-7L-8-8L-8 10M-7-7L-7 10M-7-7L6-7M5-7L6-8L8-7L7-5M6-7L6 6L5 8L4 9M6 7L6 8L5 9M7-7L7 8L6 10L5 10L4 9L2 8M-7-2L6-2M-11 3L11 3L9 2L8 3
43,-14,13,M-4-11L-4 9M-3-11L-3 9M2-11L2 9M3-11L3 9M-11-11L11-11L9-13L7-11L10-12M-7-5L-9-6L-9 3M-8-5L-8 3M-8-5L7-5M6-5L7-6L9-5L8-3M7-5L7 3M8-5L8 3M-8 2L7 2M-11 9L11 9L9 7L7 9L10 8
49,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-3-11L-5-5M-2-11L-4-5M-5-5L0-5M0-5L0 5L-1 6M-1-5L0-6L1-5L1 5L0 7L-1 6L-3 5M-6-3L-5-2L-4 0L-3 0L-3-1L-4-2L-6-3M5-4L1 0M5-4L6-3L1 0M-7 3L0 1M-7 3L-6 4L0 1M2 1L3 2L5 5L6 5L6 4L5 3L2 1M-10-5L-10 10M-10-5L-9-5L-9 10M-9 9L8 9M8-5L8 10M8-5L9-5L9 10
50,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-1-11L-1 4M0-11L0 4M-6-7L-6 5M-6-7L-5-6L-5 5M-5-6L4-6M4-6L4 5M3-6L4-7L5-6L5 5M-5-1L4-1M-5 4L4 4M-10-7L-10 10M-10-7L-9-7L-9 10M-9 9L8 9M8-7L8 10M8-7L9-7L9 10
53,-14,13,M-6-11L-8-12L-8-3L-9 2L-10 4M-7-11L-7-3L-8 1L-9 3L-11 5M-7-11L6-11M5-11L6-12L8-11L7-9M6-11L6-5M7-11L7-5M-7-6L6-6M3-6L4-4L6-1L9 1L11 0M4-4L6-2L8-1L11 0M-5-2L-5 6M-5-2L-4-1L-4 6M-4-1L3-1M3-1L3 6M2-1L3-2L4-1L4 6M-4 2L3 2M-4 5L3 5M-10 9L10 9L8 8L7 9
54,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M2-11L-2-8L-7-5L-11-3M4-11L-2-7L-6-5L-11-3M-1-8L-1-2M0-9L0-2M4-7L6-6L8-4L9-4L9-5L7-6L4-7M-11 0L11 0L9-2L7 0M7 0L10-1M-1 0L-1 9M0 0L0 9M-5 4L-4 3L-6 3L-6 9M-5 4L-5 9M0 4L8 4L6 3L5 4M-11 9L11 9L9 7L7 9M7 9L10 8
58,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-1-11L-2-8M0-11L-1-9M1-11L-1-8M-5-8L-7-9L-7 1M-6-8L-6 1M-6-8L5-8M4-8L5-9L7-8L6-6M5-8L5 1M6-8L6 1M-6-5L5-5M-6-2L5-2M-7 1L6 1M-4 2L-7 5L-11 8M-4 2L-3 3L-7 6L-11 8M-4 4L6 4M5 3L3 5L-1 8L-3 9L-6 10L-10 11M5 3L6 4L2 7L-2 9L-5 10L-10 11M-4 4L-1 7L2 9L5 10L9 11L11 10M-3 5L0 7L2 8L5 9L11 10
62,-14,13,M-11-11L11-11L9-13L7-11M7-11L10-12M-3-11L-3 1M-2-11L-2 1M2-11L2 1M3-11L3 1M-9-8L-9-3M-9-8L-8-7L-8-3M-8-7L8-7M8-7L8-3M7-7L8-8L9-7L9-3M-9-3L9-3M-11 1L11 1L9-1L7 1M7 1L10 0M-5 4L-5 9L-4 10L4 10L5 9L4 8M-5 4L-4 4L-4 8L-3 9L3 9L4 8L4 6M-1 3L0 6L1 6L1 5L-1 3M-8 5L-9 7L-10 8L-10 9L-9 9L-8 7L-8 5M7 5L9 7L10 9L11 9L11 8L10 7L7 5
81,-14,13,M0-10L1-11L-1-12L-1 11M0-11L0 11M-8-6L-10-7L-10 4M-9-6L-9 4M-9-6L8-6M7-6L8-7L10-6L9-4M8-6L8 4M9-6L9 4M-9 3L8 3
82,-14,13,M0-10L1-11L-1-12L-1-6L-2-2L-3 0L-5 2L-8 4M0-11L0-5L-1-2L-2 0L-4 2L-8 4M0-4L1-1L2 1L4 3L5 2L3 1L1-1M-8-7L-10-8L-10 10M-9-7L-9 10M-9-7L8-7M7-7L8-8L10-7L9-5M8-7L8 6L7 8L6 9M8 7L8 8L7 9M9-7L9 8L8 10L7 10L6 9L3 8
92,-14,13,M-7-11L-9-12L-9 4M-8-11L-8 4M-8-11L7-11M6-11L7-12L9-11L8-9M7-11L7 4M8-11L8 4M-1-11L-1 10M0-11L0 10M-8-4L7-4M-8 3L7 3
96,-14,13,M0-10L1-11L-1-12L-1 10M0-11L0 10M-11-6L11-6L9-8L7-6M7-6L10-7M-2-6L-5 0L-8 4L-11 7M-1-5L-3-1L-5 2L-7 4L-11 7M1-5L2-2L3 0L6 4L9 7L11 6M7 4L9 6M1-5L2-3L5 1L8 4L11 6M-5 5L4 5L3 4L2 5
97,-14,13,M-1-12L-1 9M-1-12L0-12L0 9M-8-10L-8-2M-8-10L-7-10L-7-2M-7-3L6-3M6-10L6-2M6-10L7-10L7-2M-10 1L-10 10M-10 1L-9 1L-9 10M-9 9L8 9M8 1L8 10M8 1L9 1L9 10
101,-14,13,M1-12L-1-12L-2-9M1-12L-2-9M-8-9L-10-10L-10 9M-9-9L-9 9M-9-9L9-9M8-9L9-10L11-9L10-7M9-9L9 5L8 7L7 8M9 6L9 7L8 8M10-9L10 7L9 9L8 9L7 8L5 7M-4-5L-4 4M-4-5L-3-4L-3 4M-3-4L3-4M3-4L3 4M2-4L3-5L4-4L4 4M-3 3L3 3
103,-14,13,M-3-10L-2-11L-4-12L-4 9M-3-11L-3 9M3-10L4-11L2-12L2 9M3-11L3 9M-8-7L-10-8L-10 10M-9-7L-9 10M-9-7L8-7M7-7L8-8L10-7L9-5M8-7L8 10M9-7L9 10M-9 1L8 1M-9 9L8 9
107,-14,13,M-1-11L-1 10M0-11L0 10M-6-11L-8-12L-8-2M-7-11L-7-2M-7-11L6-11M5-11L6-12L8-11L7-9M6-11L6-2M7-11L7-2M-7-7L6-7M-7-3L6-3M-11 1L11 1L9 0L8 1M-2 1L-4 4L-7 7L-10 9M-1 2L-5 6L-8 8L-10 9M1 1L2 4L4 7L6 8L9 9L11 8M2 4L4 6L6 7L11 8
108,-14,13,M0-11L1-12L-1-12L-1-2M0-11L0-2M-9-10L9-10L7-11L6-10M-8-6L8-6L7-7L6-6M-10-2L10-2L8-3L7-2M-1-2L-4 1L-8 4L-11 6M-1-2L0-1L-4 2L-7 4L-11 6M0-2L1 1L2 3L4 6L6 8L9 10L11 9M7 8L9 9M2 3L4 5L7 7L11 9M-5 2L-5 8M-4 2L-4 8M-9 9L3 5M-9 9L-7 10L3 5M6 0L3 3M6 0L7 1L3 3
130,-14,13,M-4-12L-2-11L-1-10L0-10L0-11L-2-12L-4-12M-7-6L-1-6M-2-6L-1-7L1-6L0-4M-1-6L-1 6L-2 8L-3 9M-1 7L-1 8L-2 9M0-6L0 8L-1 10L-2 10L-3 9L-5 8M1-6L2-3L4 1L6 4L9 7L11 6M7 4L9 6M1-6L3-2L6 2L8 4L11 6M-11-2L-3-2M-6-2L-5-3L-3-2L-5 0M-5-3L-6 0L-7 2L-9 5L-11 7M-4-2L-5 1L-7 4L-11 7M8-6L4-2M8-6L9-5L4-2
